target,niche,market,first_date,last_date,distinct_days,files_agree,files_anthropic,files_gemini,files_google_serp,files_openai,files_perplexity,total_files
Atrix Digital,AI marketing agency,Los Angeles CA,2026-08-08,2026-09-12,36,37,37,37,37,37,37,222
BBS Insurance,health insurance brokerage,Kansas City MO,2026-08-04,2026-09-12,40,43,41,44,44,41,45,258
Backflow Boss,backflow testing and repair,Liberty MO,2026-08-04,2026-09-12,40,43,41,44,44,41,45,258
Digital Strike,digital marketing agency,St. Louis MO,2026-08-05,2026-09-12,37,38,37,38,38,37,38,226
Flatline Contracting,residential remodeling and repair,Joplin MO,2026-08-04,2026-09-12,40,43,41,44,44,41,45,258
Hedy & Hopp,healthcare marketing agency,St. Louis MO,2026-08-05,2026-09-12,37,38,37,38,38,37,38,226
Lambos Digital,connected TV and streaming advertising agency,US nationwide,2026-08-08,2026-09-12,36,37,37,37,37,37,37,222
Namebeam,ai visibility checks,US nationwide,2026-08-02,2026-09-12,41,44,41,44,44,41,46,260
Native Digital,marketing agency,Kansas City MO,2026-08-05,2026-09-12,37,38,37,38,38,37,38,226
Needle,AI marketing tool for DTC brands,US nationwide,2026-08-08,2026-09-12,36,37,37,37,37,37,37,222
PYNE Creative,marketing and brand strategy consultancy,Maryland,2026-08-08,2026-09-12,36,37,37,37,37,37,37,222
Paint Saint Louis LLC,interior painting,St. Louis MO,2026-08-04,2026-09-12,40,43,41,44,44,41,45,258
Quickads,AI video ad maker,US nationwide,2026-08-08,2026-09-12,36,37,37,37,37,37,37,222
Raven Moon Academy,online spiritual and shadow work courses,"US nationwide, online. LOCATION NOT CAPTURED AT LEAD INTAKE, see notes",2026-08-04,2026-09-12,40,43,41,44,44,41,45,258
SCORCH,branding agency,St. Louis MO,2026-08-05,2026-09-12,37,38,37,38,38,37,38,226
"SEGMENT: HVAC, Atlanta",hvac repair and replacement,Atlanta GA,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: HVAC, Houston",hvac repair and replacement,Houston TX,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: HVAC, Phoenix",hvac repair and replacement,Phoenix AZ,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",personal injury law,Pleasanton CA,2026-08-25,2026-09-12,19,19,19,19,19,19,19,114
SEGMENT: STR arbitrage entry,short-term rental business model,US nationwide,2026-08-05,2026-09-12,39,42,41,44,44,41,44,256
SEGMENT: STR guest discovery,short-term rental,US nationwide,2026-08-05,2026-09-12,39,43,41,44,44,41,44,257
SEGMENT: STR host tooling,short-term rental software,US nationwide,2026-08-05,2026-09-12,39,42,41,44,44,41,44,256
"SEGMENT: dentists, Pleasanton",dentists,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: health insurance, Kansas City",health insurance brokers,Kansas City MO,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: homecare agencies, Pleasanton",home care agencies,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: moving companies, Pleasanton",moving companies,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: oil change, Pleasanton",oil change shops,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: personal injury law, Atlanta",personal injury attorneys,Atlanta GA,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: personal injury law, Chicago",personal injury attorneys,Chicago IL,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: personal injury law, Dallas",personal injury attorneys,Dallas TX,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: personal injury law, Houston",personal injury attorneys,Houston TX,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",personal injury law,Pleasanton CA,2026-08-25,2026-09-12,19,19,19,19,19,19,19,114
"SEGMENT: real estate agents, Pleasanton",real estate agents,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: roofing, Dallas",residential roofing,Dallas TX,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: roofing, Denver",residential roofing,Denver CO,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: roofing, Miami",residential roofing,Miami FL,2026-08-09,2026-09-12,35,36,36,36,36,36,36,216
"SEGMENT: short-term rental, Branson",short-term rental / Airbnb,Branson MO,2026-08-05,2026-09-12,39,43,41,44,44,41,44,257
"SEGMENT: short-term rental, Nashville",short-term rental / Airbnb,Nashville TN,2026-08-05,2026-09-12,39,43,41,44,44,41,44,257
"SEGMENT: short-term rental, Santa Cruz County",short-term rental / Airbnb,Santa Cruz County CA,2026-08-05,2026-09-12,39,42,41,44,44,41,44,256
"SEGMENT: tanning salons, Charlotte",tanning salons,Charlotte NC,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: tanning salons, Columbus",tanning salons,Columbus OH,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: tanning salons, Pleasanton",tanning salons,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: tanning salons, Tyler",tanning salons,Tyler TX,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
"SEGMENT: tire shops, Pleasanton",tire shops,Pleasanton CA,2026-08-26,2026-09-12,18,18,18,18,18,18,18,108
Sagapixel,SEO agency,New Jersey,2026-08-05,2026-08-05,1,1,0,1,1,0,1,4
Tachology Digital,digital marketing agency,San Francisco CA,2026-08-08,2026-09-12,36,37,37,37,37,37,37,222
Trunkline,honest crypto education,US nationwide,2026-08-07,2026-09-12,37,38,38,38,38,38,38,228
World Martial Arts Academy,martial arts for kids,St. Peters MO,2026-08-04,2026-09-12,40,43,41,44,44,41,45,258
