date,segment,engine,businesses_named_count,businesses_named
2026-08-25,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,7,Research methods;State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Questions to ask
2026-08-25,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,10,"Law Offices of Zachary B. Schultz;Location;Focus;Braff Personal Injury Law Practice;Walkup, Melodia, Kelly & Schoenberger;Schedule Free Consultations;Verify Trial Experience;Check the California State Bar;Confirm Fee Structure;Look for Local Expertise"
2026-08-25,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-08-25,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,6,"Kristine Keala Meredith;Personal Injury Litigation – Plaintiffs;Tom Sokat;GJEL Accident Attorneys;Mirador Law;Duncan Law Firm, P.C"
2026-08-25,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,2,Local resources;Questions to ask
2026-08-25,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,19,"Alameda County jurisdiction;Law Offices of Timothy M. O’Hara;Bonnici Law Group;M&Y Personal Injury Lawyers;GJEL Accident Attorneys;Gwilliam Ivary Chiosso Cavalli & Brewer;Sally Morin Personal Injury Lawyers;Exclusive Focus on Personal Injury;Trial Experience;Contingency Fee Structure;No Win, No Fee;Local Knowledge;Seek Medical Care Immediately;Stanford Health Care Tri-Valley;Do NOT Give a Recorded Statement;Obtain the Police Report;Pleasanton Police Department;CHP Dublin;Mind the Deadline"
2026-08-25,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-25,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,5,"GJEL Accident Attorneys;Mirador Law;Duncan Law Firm, P.C;Clapp Moroney l Vucinich l Beeman Scheley;Law Office of Chuck Geerhart"
2026-08-26,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,6,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for referrals;Key things to evaluate
2026-08-26,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,11,"GJEL Accident Attorneys (Pleasanton Office);Specialties;Reputation;Law Office of Michael J. Holmes;Braff Injury Law Practice (Pleasanton);Walkup, Melodia, Kelly & Schoenberger;Verify State Bar Standing;State Bar of California website;Ask About Trial Experience;Understand the Fee Structure;Schedule 2–3 Free Consultations"
2026-08-26,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-08-26,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,8,Tom Sokat;Mirador Law;GJEL Accident Attorneys;Chuck Geerhart;Anand Desai Law Firm;Case type;Track record/ratings;Local presence
2026-08-26,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,7,"Research options;State Bar of California;Avvo, Google Reviews, Yelp;Local bar associations;Friends/family;Questions to ask;Act quickly"
2026-08-26,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,12,"Law Offices of Timothy B. O’Connor;Mallen Law;Bonfante Law;GJEL Accident Attorneys;Harris Personal Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Trial Experience vs. Settlement Mills;Local Court & Highway Knowledge;Fee Structure (Contingency Basis);Statute of Limitations;Government Exception (180 Days);Immediate Next Step"
2026-08-26,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-26,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,7,"GJEL Accident Attorneys;Duncan Law Firm, P.C;Stephen M. Fuerch;Mirador Law;Tom Sokat;Pleasanton office;Car accident experience"
2026-08-27,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,4,State Bar of California;Google Reviews & Yelp;Local bar associations;Ask for recommendations
2026-08-27,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,14,"GJEL Accident Attorneys (Gottschalk, July, & Ericson);Focus;Reputation;Gwilliam Ivary Chiosso Cavalli & Brewer;Bonjour, Thorman, Burns & DeGues;Sally Morin Personal Injury Lawyers;Law Offices of Edward A. Smith (AutoAccident.com);Check the California State Bar;Alameda County Bar Association Referral Service;ACBA;East Bay Community Law Center;Results;Management;Trial Readiness"
2026-08-27,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-08-27,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,12,Mirador Law;GJEL Accident Attorneys;Tom Sokat;Fuerch Law;Chuck Geerhart;For car accidents / injury claims;For a broad personal injury practice;For directory-based shortlisting;Case experience;Trial record;Client reviews;Fee structure
2026-08-27,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,3,Local resources;Questions to ask potential lawyers;Also consider
2026-08-27,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,14,"Alameda County courts;GJEL Accident Attorneys;Location;Specialty;Reputation;Sally Morin Personal Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Bonfante Law / Local Tri-Valley Practitioners;Specific Car Accident Experience;Attorney Involvement;Medical Bill Management;Trial Readiness;Seek/Continue Medical Attention;Gather Information"
2026-08-27,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-27,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,10,"Pleasanton-area car accident lawyer;GJEL Accident Attorneys;Duncan Law Firm, P.C;The Law Offices of Stephen M. Fuerch;Mirador Law;GJEL;Duncan Law Firm;Car-accident experience;Fee structure;Communication speed"
2026-08-28,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,5,State Bar of California;Google Reviews & Yelp;Local bar associations;Ask for recommendations;Key things to evaluate
2026-08-28,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,11,"Timothy B. Farley;Location;Specialization;Reputation;GJEL Accident Attorneys;Bonjour, Thorman, Burns & Barta;Bostwick & Peterson, LLP;Relevant Experience;Trial Experience;Local Knowledge;Communication Style"
2026-08-28,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-08-28,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,10,Mirador Law;GJEL Accident Attorneys;Tom Sokat;Chuck Geerhart;Fuerch Law;Local office in Pleasanton;Personal injury focus;Availability and consultation;Peer-review directories;Spanish-speaking attorney
2026-08-28,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Also consider
2026-08-28,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,12,"Pleasanton, California;Alameda County;GJEL Accident Attorneys (East Bay Offices);Maison Law;Walkup, Melodia, Kelly & Schoenberger (San Francisco);Gwilliam Ivary Chiosso Cavalli & Brewer (Oakland);Trial Experience;No Upfront Fees (Contingency Basis);Local Alameda County Experience;Statute of Limitations;Government Entity Exception (6-Month Rule);Do Not Give Recorded Statements"
2026-08-28,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-28,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,10,GJEL Accident Attorneys;Pleasanton car accident lawyers;Mirador Law;The Law Offices of J. Michael Hosterman;Harris Personal Injury Lawyers;Vaziri Law;Car accident experience;Contingency fee terms;Recent client reviews and case results;GJEL
2026-08-29,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,4,State Bar of California;Google Reviews & Avvo;Local bar associations;Ask for recommendations
2026-08-29,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,11,GJEL Accident Attorneys (Pleasanton Office);Specialties;Reputation;Law Offices of Zachary D. Smith;The Law Offices of Timothy M. Kelly;State Bar of California website;Ask Key Questions During the Consultation;Look at Independent Reviews;Avvo;Martindale-Hubbell;Google Reviews
2026-08-29,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
2026-08-29,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",perplexity,11,"Shawn R. Miller;Personal Injury Litigation - Plaintiffs;GJEL Accident Attorneys;Mirador Law;Fuerch Legal;Karns & Karns;Duncan Law Firm, P.C;Case type fit;Recognition;Local office and availability;Fee structure"
2026-08-29,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",anthropic,6,Local resources;State Bar of California;Alameda County Bar Association;Google/Yelp reviews;Questions to ask;Other options
2026-08-29,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",gemini,14,"Local Pleasanton / Tri-Valley Specialists;Law Office of Richard Brotman;Mallen Law / Scott Mallen;GJEL Accident Attorneys;Harris Personal Injury Lawyers;Walkup, Melodia, Kelly & Schoenberger;Exclusive Focus on Personal Injury;Trial Experience;Contingency Fee Structure;Communication;Do NOT give a recorded statement;Get Medical Care Immediately;Obtain the Collision Report;Document Everything"
2026-08-29,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",openai,0,
2026-08-29,"SEGMENT: PI car accident intake, Pleasanton (Shotland pilot)",perplexity,6,GJEL Accident Attorneys;The Law Offices of Stephen M. Fuerch;Mirador Law;Stephen M. Fuerch;Harris Personal Injury Lawyers;Alameda County
2026-08-30,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",anthropic,6,State Bar of California;Google Reviews & Yelp;Avvo.com;Local bar associations;Ask for recommendations;Key things to look for
2026-08-30,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",gemini,12,"Location;Specialty;Reputation;Bonjour & Thorman, Ltd;Law Office of Timothy M. O’Hara;Harris Personal Injury Lawyers, Inc;Relevant Experience;Trial Experience;Fee Structure;Gather Documents;Schedule Free Consultations;Ask Key Questions"
2026-08-30,"SEGMENT: personal injury lawyers, Pleasanton (Shotland pilot)",openai,0,
